"","DistNo.","nX","P2","Q","TruROP","Method","Mean"
"1","1","7","0.8","18","120.443385270797","boot","119.151608920983"
"2","1","7","0.85","25","123.810390859889","boot","119.161699757746"
"3","1","7","0.9","38","127.198468246777","boot","119.086690210059"
"4","1","7","0.95","44","130.605068534566","boot","119.707415305535"
"5","1","7","0.98","78","132.647821749821","boot","119.915274299428"
"6","1","7","0.99","94","133.318220146531","boot","120.180689386644"
"7","1","12","0.8","18","120.443385270797","boot","124.002756577815"
"8","1","12","0.85","25","123.810390859889","boot","123.969002101045"
"9","1","12","0.9","38","127.198468246777","boot","123.982788957677"
"10","1","12","0.95","44","130.605068534566","boot","124.766930419002"
"11","1","12","0.98","78","132.647821749821","boot","125.051375637312"
"12","1","12","0.99","94","133.318220146531","boot","125.410401513067"
"13","1","24","0.8","18","120.443385270797","boot","126.680176797041"
"14","1","24","0.85","25","123.810390859889","boot","126.582598462018"
"15","1","24","0.9","38","127.198468246777","boot","126.53270098265"
"16","1","24","0.95","44","130.605068534566","boot","127.643426438586"
"17","1","24","0.98","78","132.647821749821","boot","128.186541835597"
"18","1","24","0.99","94","133.318220146531","boot","128.727043298054"
"19","1","30","0.8","18","120.443385270797","boot","127.456029883585"
"20","1","30","0.85","25","123.810390859889","boot","127.352277960541"
"21","1","30","0.9","38","127.198468246777","boot","127.335402872294"
"22","1","30","0.95","44","130.605068534566","boot","128.485811310609"
"23","1","30","0.98","78","132.647821749821","boot","129.039964445761"
"24","1","30","0.99","94","133.318220146531","boot","129.607419564133"
"25","2","7","0.8","31","134.227834144048","boot","135.593972877349"
"26","2","7","0.85","42","139.904598034569","boot","135.491396509506"
"27","2","7","0.9","63","145.573819311801","boot","135.577358242161"
"28","2","7","0.95","73","151.322119877744","boot","136.084863375273"
"29","2","7","0.98","130","154.712315573348","boot","136.270081024911"
"30","2","7","0.99","156","155.861502675568","boot","136.488261852465"
"31","2","12","0.8","31","134.227834144048","boot","141.797731488745"
"32","2","12","0.85","42","139.904598034569","boot","141.850977170384"
"33","2","12","0.9","63","145.573819311801","boot","141.7627342855"
"34","2","12","0.95","73","151.322119877744","boot","142.575196168012"
"35","2","12","0.98","130","154.712315573348","boot","142.944202934976"
"36","2","12","0.99","156","155.861502675568","boot","143.259924038532"
"37","2","24","0.8","31","134.227834144048","boot","146.025382509152"
"38","2","24","0.85","42","139.904598034569","boot","145.981835354826"
"39","2","24","0.9","63","145.573819311801","boot","146.041602505946"
"40","2","24","0.95","73","151.322119877744","boot","147.32028540033"
"41","2","24","0.98","130","154.712315573348","boot","147.834851111949"
"42","2","24","0.99","156","155.861502675568","boot","148.44237983827"
"43","2","30","0.8","31","134.227834144048","boot","147.429154013931"
"44","2","30","0.85","42","139.904598034569","boot","147.359778260916"
"45","2","30","0.9","63","145.573819311801","boot","147.376775487031"
"46","2","30","0.95","73","151.322119877744","boot","148.788044675327"
"47","2","30","0.98","130","154.712315573348","boot","149.392690561801"
"48","2","30","0.99","156","155.861502675568","boot","150.054152004099"
"49","3","7","0.8","46","151.632264570333","boot","157.919037281715"
"50","3","7","0.85","63","160.255981300306","boot","158.014214756718"
"51","3","7","0.9","95","168.811709997337","boot","157.888209779366"
"52","3","7","0.95","110","177.392627523281","boot","158.403134157781"
"53","3","7","0.98","195","182.571128006578","boot","158.67604500118"
"54","3","7","0.99","235","184.292109414414","boot","158.943434255663"
"55","3","12","0.8","46","151.632264570333","boot","164.197130937319"
"56","3","12","0.85","63","160.255981300306","boot","164.240910140733"
"57","3","12","0.9","95","168.811709997337","boot","164.154659990702"
"58","3","12","0.95","110","177.392627523281","boot","165.083683275357"
"59","3","12","0.98","195","182.571128006578","boot","165.396964426723"
"60","3","12","0.99","235","184.292109414414","boot","165.649236390188"
"61","3","24","0.8","46","151.632264570333","boot","172.087349601029"
"62","3","24","0.85","63","160.255981300306","boot","171.978504209182"
"63","3","24","0.9","95","168.811709997337","boot","171.995043016351"
"64","3","24","0.95","110","177.392627523281","boot","173.32477177659"
"65","3","24","0.98","195","182.571128006578","boot","173.931832783916"
"66","3","24","0.99","235","184.292109414414","boot","174.50272851208"
"67","3","30","0.8","46","151.632264570333","boot","172.978301496059"
"68","3","30","0.85","63","160.255981300306","boot","172.855761351412"
"69","3","30","0.9","95","168.811709997337","boot","172.877515040932"
"70","3","30","0.95","110","177.392627523281","boot","174.386077306247"
"71","3","30","0.98","195","182.571128006578","boot","175.060375988804"
"72","3","30","0.99","235","184.292109414414","boot","175.748199384417"
"73","4","7","0.8","18","116.791311878579","boot","120.720846261843"
"74","4","7","0.85","25","120.691892646687","boot","120.707486795595"
"75","4","7","0.9","38","125.573223122217","boot","120.76863244509"
"76","4","7","0.95","44","132.835531451912","boot","121.288605053092"
"77","4","7","0.98","78","141.007404852846","boot","121.550697339462"
"78","4","7","0.99","94","146.496701788773","boot","121.697811460794"
"79","4","12","0.8","18","116.791311878579","boot","126.402160350442"
"80","4","12","0.85","25","120.691892646687","boot","126.346590579884"
"81","4","12","0.9","38","125.573223122217","boot","126.302671446123"
"82","4","12","0.95","44","132.835531451912","boot","127.176918814686"
"83","4","12","0.98","78","141.007404852846","boot","127.44058379021"
"84","4","12","0.99","94","146.496701788773","boot","127.781668452693"
"85","4","24","0.8","18","116.791311878579","boot","130.84392486875"
"86","4","24","0.85","25","120.691892646687","boot","130.71986815667"
"87","4","24","0.9","38","125.573223122217","boot","130.688693159839"
"88","4","24","0.95","44","132.835531451912","boot","131.98918761949"
"89","4","24","0.98","78","141.007404852846","boot","132.610568366014"
"90","4","24","0.99","94","146.496701788773","boot","133.185165713486"
"91","4","30","0.8","18","116.791311878579","boot","133.214276844631"
"92","4","30","0.85","25","120.691892646687","boot","133.043512053594"
"93","4","30","0.9","38","125.573223122217","boot","132.994066200046"
"94","4","30","0.95","44","132.835531451912","boot","134.582233092622"
